X,Y,OBJECTID,FORMULARIO,CODIGO_ACCIDENTE,FECHA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,GRAVEDAD,CLASE_ACC,LOCALIDAD
-74.1278288,4.66340744384691,354748,A001135007,10512792,2020/03/02 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.0456452729999,4.75144610384404,354749,A001135207,10512694,2020/02/28 00:00:00+00,2020,SOLO DANOS,CHOQUE,USAQUEN
-74.1423794,4.58046720284965,354750,A001135358,10512695,2020/03/01 00:00:00+00,2020,SOLO DANOS,CHOQUE,TUNJUELITO
-74.081140367,4.62715135684812,354751,A001134199,10512700,2020/03/01 00:00:00+00,2020,SOLO DANOS,CHOQUE,TEUSAQUILLO
-74.0233514399999,4.7286492988448,354752,A001132744,10512706,2020/03/01 00:00:00+00,2020,SOLO DANOS,CHOQUE,USAQUEN
-74.150047085,4.69300334984594,354753,A001135200,10512713,2020/03/01 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.162158528,4.64684801484747,354754,A001133947,10512715,2020/03/01 00:00:00+00,2020,SOLO DANOS,CHOQUE,KENNEDY
-74.1314519,4.68976792884605,354755,A001134482,10512716,2020/03/01 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.054581276,4.68641634184617,354756,A001135085,10512717,2020/03/01 00:00:00+00,2020,SOLO DANOS,CHOQUE,USAQUEN
-74.154056828,4.58100591784964,354757,A001134960,10512724,2020/03/01 00:00:00+00,2020,SOLO DANOS,CHOQUE,TUNJUELITO
-74.1752358269999,4.61080513184864,354759,A001134179,10511546,2020/02/20 00:00:00+00,2020,CON HERIDOS,CHOQUE,BOSA
-74.082716692,4.57194496784988,354762,A001136345,10513979,2020/03/14 00:00:00+00,2020,SOLO DANOS,CHOQUE,SAN CRISTOBAL
-74.129723976,4.59727791784906,354764,A001135311,10513177,2020/03/05 00:00:00+00,2020,SOLO DANOS,CHOQUE,PUENTE ARANDA
-74.1550823169999,4.63859551584776,354766,A001132946,10511381,2020/02/18 00:00:00+00,2020,CON MUERTOS,ATROPELLO,KENNEDY
-74.10162954,4.67127303284666,354768,A001133564,10512003,2020/02/24 00:00:00+00,2020,SOLO DANOS,CHOQUE,CIUDAD BOLIVAR
-74.1865863949999,4.62802394684807,354774,A001134771,10513703,2020/03/11 00:00:00+00,2020,SOLO DANOS,CHOQUE,BOSA
-74.138324451,4.58975720484935,354775,A001133654,10512503,2020/02/28 00:00:00+00,2020,SOLO DANOS,CHOQUE,TUNJUELITO
-74.1452420429999,4.59364263184922,354778,A001135528,10514222,2020/03/14 00:00:00+00,2020,CON HERIDOS,CHOQUE,TUNJUELITO
-74.133156555,4.58545091284946,354779,A001136085,10513772,2020/03/11 00:00:00+00,2020,CON HERIDOS,CHOQUE,TUNJUELITO
-74.077525093,4.6518878918473,354783,A001130237,10508557,2020/01/17 00:00:00+00,2020,SOLO DANOS,CHOQUE,TEUSAQUILLO
-74.1443493519999,4.59872747784905,354784,A001133389,10511673,2020/02/21 00:00:00+00,2020,SOLO DANOS,CHOQUE,KENNEDY
-74.046551194,4.753887468844,354787,A001131051,10513985,2020/03/14 00:00:00+00,2020,SOLO DANOS,CHOQUE,USAQUEN
-74.1356123479999,4.56803120585005,354788,A001135919,10513412,2020/03/07 00:00:00+00,2020,SOLO DANOS,CHOQUE,TUNJUELITO
-74.0297867849999,4.71522873684527,354789,A001135388,10514147,2020/03/17 00:00:00+00,2020,SOLO DANOS,CHOQUE,USAQUEN
-74.122171108,4.65385758384723,354790,A001136063,10514054,2020/03/17 00:00:00+00,2020,CON HERIDOS,CHOQUE,FONTIBON
-74.141680774,4.60797171384872,354793,A001127586,10514066,2020/03/17 00:00:00+00,2020,CON HERIDOS,ATROPELLO,KENNEDY
-74.15900879,4.6335889708479,354795,A001136312,10514063,2020/03/17 00:00:00+00,2020,CON MUERTOS,VOLCAMIENTO,KENNEDY
-74.141302928,4.61071750884864,354797,A001136335,10514082,2020/03/14 00:00:00+00,2020,SOLO DANOS,CHOQUE,KENNEDY
-74.1139372759999,4.74753886984417,354850,A001135189,10512772,2020/03/02 00:00:00+00,2020,SOLO DANOS,CHOQUE,SUBA
-74.141285013,4.69776325684584,354851,A001133000,10511617,2020/02/21 00:00:00+00,2020,CON HERIDOS,CHOQUE,FONTIBON
-74.095470937,4.74575872584428,354852,A001134301,10511818,2020/02/22 00:00:00+00,2020,SOLO DANOS,CHOQUE,SUBA
-74.166843811,4.63957132684772,354853,A001133884,10511975,2020/02/25 00:00:00+00,2020,CON HERIDOS,ATROPELLO,KENNEDY
-74.082623596,4.77105535584341,354854,A001132834,10512233,2020/02/27 00:00:00+00,2020,SOLO DANOS,CHOQUE,SUBA
-74.12466441,4.64676004184746,354855,A001134539,10512261,2020/02/27 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.1237209069999,4.74036217184444,354856,A001135552,10512860,2020/03/03 00:00:00+00,2020,CON HERIDOS,CHOQUE,SUBA
-74.139905482,4.69744752284583,354857,A001134677,10512868,2020/03/03 00:00:00+00,2020,CON HERIDOS,CHOQUE,FONTIBON
-74.12256579,4.47573272385306,354858,A001135428,10512964,2020/03/05 00:00:00+00,2020,CON HERIDOS,ATROPELLO,USME
-74.167179513,4.69285528184596,354859,A001135516,10512771,2020/03/03 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.0240493269999,4.76483726584362,354860,A001134954,10512745,2020/03/01 00:00:00+00,2020,SOLO DANOS,CHOQUE,USAQUEN
-74.153674042,4.57430842984981,354861,A001135911,10513775,2020/03/15 00:00:00+00,2020,CON HERIDOS,CHOQUE,CIUDAD BOLIVAR
-74.035152013,4.71185013884534,354862,A001135430,10513532,2020/03/09 00:00:00+00,2020,SOLO DANOS,CHOQUE,USAQUEN
-74.120661457,4.59437475984918,354863,A001136285,10513769,2020/03/14 00:00:00+00,2020,CON HERIDOS,CHOQUE,PUENTE ARANDA
-74.099428867,4.73899253584449,354864,A001136114,10513789,2020/03/12 00:00:00+00,2020,CON HERIDOS,CHOQUE,SUBA
-74.143170809,4.66488010684687,354865,A001134741,10513466,2020/03/09 00:00:00+00,2020,CON HERIDOS,CHOQUE,FONTIBON
-74.093814278,4.62551940884817,354866,A001136503,10513809,2020/03/12 00:00:00+00,2020,CON HERIDOS,CHOQUE,PUENTE ARANDA
-74.074927873,4.72449793484494,354867,A001135619,10513811,2020/03/13 00:00:00+00,2020,CON HERIDOS,CHOQUE,SUBA
-74.103548997,4.48517391385271,354868,A001133488,10512714,2020/03/01 00:00:00+00,2020,SOLO DANOS,CHOQUE,USME
-74.130291503,4.65342747584726,354869,A001135767,10513749,2020/03/12 00:00:00+00,2020,CON HERIDOS,CAIDA DE OCUPANTE,FONTIBON
-74.077249377,4.76387885484364,354870,A001135097,10513416,2020/03/07 00:00:00+00,2020,SOLO DANOS,CHOQUE,SUBA
-74.100819722,4.70324286684561,354871,A001136081,10513807,2020/03/13 00:00:00+00,2020,CON HERIDOS,CHOQUE,ENGATIVA
-74.092776514,4.71720467584518,354872,A001135725,10513813,2020/03/14 00:00:00+00,2020,CON HERIDOS,ATROPELLO,SUBA
-74.133367375,4.62976618884804,354873,A001136292,10513852,2020/03/15 00:00:00+00,2020,CON HERIDOS,OTRO,KENNEDY
-74.1191442379999,4.49053806985258,354874,A001136705,10513879,2020/03/14 00:00:00+00,2020,CON HERIDOS,VOLCAMIENTO,USME
-74.1383697959999,4.69626342884587,354875,A001134722,10511863,2020/02/24 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.108615226,4.62823954284809,354876,A001132708,10511868,2020/02/23 00:00:00+00,2020,SOLO DANOS,CHOQUE,PUENTE ARANDA
-74.123954711,4.64401577684756,354877,A001134056,10511497,2020/02/19 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.1044201559999,4.58095215684963,354878,A001134207,10511554,2020/02/19 00:00:00+00,2020,CON HERIDOS,ATROPELLO,RAFAEL URIBE URIBE
-74.123586071,4.64161192484765,354879,A001135267,10512835,2020/03/02 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.120215074,4.67912315284641,354880,A001134567,10512852,2020/03/04 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.042516635,4.77304956484338,354881,A001135862,10513676,2020/03/11 00:00:00+00,2020,SOLO DANOS,CHOQUE,USAQUEN
-74.120060393,4.67893157884643,354882,A001134718,10513755,2020/03/12 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.123330821,4.64179886984765,354883,A001134450,10513764,2020/03/12 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.1390738269999,4.66301498084695,354884,A001134113,10511880,2020/02/23 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.1237890259999,4.68362887084628,354885,A001133400,10511890,2020/02/22 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
